year	avg_acousticness	num_songs
1990	0.27491587486856767	2701
1991	0.30729587022023697	3133
1992	0.27712257659562056	3425
1993	0.288086051207222	3711
1994	0.26704415522777686	4061
1995	0.27022752903786845	4542
1996	0.2742556245675567	4648
1997	0.2952909079404834	5511
1998	0.2715879143977541	5164
1999	0.26983436168854924	6017
2000	0.22669645429989346	13098
2001	0.23347720107832215	13419
2002	0.23252453603585707	14558
2003	0.23142332849067554	15656
2004	0.24465926931104554	15792
2005	0.25519859099286535	17938
2006	0.2439845310329919	18035
2007	0.22795956709628878	17915
2008	0.2125764045145382	17849
2009	0.21619074522708293	17901
2010	0.2107178717580706	17724
2011	0.20868396735417646	18327
2012	0.20706518657518844	20515
2013	0.21448533354944868	20961
2014	0.2171439363790968	21641
2015	0.2162170581042643	21369
2016	0.20731178526983735	20642
2017	0.22506697258216016	25955
2018	0.22064547635564546	28894
2019	0.2170466951936348	29334
2020	0.21294838968980417	24823
2021	0.2020908593552761	14797
2022	0.21420136943009677	19705
