year	avg_duration_sec	num_songs
1990	247.11341503147037	2701
1991	239.67798595595318	3133
1992	245.6830052554745	3425
1993	244.9618216114251	3711
1994	243.3797547402115	4061
1995	241.11380933509452	4542
1996	236.05208154044755	4648
1997	242.23480058065692	5511
1998	242.90124786986775	5164
1999	241.29527173009902	6017
2000	243.35254695373365	13098
2001	248.38739980624408	13419
2002	247.6669227915934	14558
2003	245.97872202350482	15656
2004	244.8900729483282	15792
2005	241.58512727171438	17938
2006	244.71701885223104	18035
2007	246.333854479487	17915
2008	243.54430360244206	17849
2009	244.1917765487951	17901
2010	247.92139584743916	17724
2011	244.01222556883292	18327
2012	244.40025279064108	20515
2013	245.85908740040907	20961
2014	244.96084788133703	21641
2015	244.82119687397582	21369
2016	238.85214475341274	20642
2017	236.81935499903733	25955
2018	230.35169107773086	28894
2019	226.1833165609875	29334
2020	220.06235233452819	24823
2021	215.07953578428015	14797
2022	210.4641015478311	19705
