year	avg_loudness	num_songs
1990	-11.503752313957799	2701
1991	-11.143030322374731	3133
1992	-10.85779795620441	3425
1993	-11.086608461331162	3711
1994	-9.91528736764342	4061
1995	-10.023924482606787	4542
1996	-9.483978700516351	4648
1997	-9.458025403737935	5511
1998	-8.940655305964356	5164
1999	-8.600971746717613	6017
2000	-8.075833562375943	13098
2001	-7.952489827856019	13419
2002	-7.834551998900916	14558
2003	-7.6905938937148735	15656
2004	-7.670030205167161	15792
2005	-7.791807838109056	17938
2006	-7.580917271971183	18035
2007	-7.329447557912373	17915
2008	-7.114739481203396	17849
2009	-7.1731063627730185	17901
2010	-6.99518257729628	17724
2011	-6.976115403503055	18327
2012	-6.977887545698236	20515
2013	-7.1018294928676555	20961
2014	-7.085419989834155	21641
2015	-7.196117927839401	21369
2016	-6.956421034783474	20642
2017	-7.201154844923876	25955
2018	-7.22952225375508	28894
2019	-7.266315879184515	29334
2020	-7.155042782903022	24823
2021	-6.876307900250063	14797
2022	-6.860454148693219	19705
