year	avg_speechiness	num_songs
1990	0.0857451684561273	2701
1991	0.07309942547079462	3133
1992	0.08661740145985398	3425
1993	0.08535340878469407	3711
1994	0.07918724452105387	4061
1995	0.08634702774108313	4542
1996	0.08636936316695354	4648
1997	0.0848502086735618	5511
1998	0.0893214756003099	5164
1999	0.09267571879674277	6017
2000	0.0888727744693842	13098
2001	0.08699647514717944	13419
2002	0.08714949855749389	14558
2003	0.08660745401124151	15656
2004	0.08633278875379988	15792
2005	0.08462435054075207	17938
2006	0.08495965622400954	18035
2007	0.08441601451297798	17915
2008	0.08525363325676544	17849
2009	0.08541648511256358	17901
2010	0.08355482960956898	17724
2011	0.08619440170240678	18327
2012	0.08772738971484256	20515
2013	0.08746291207480605	20961
2014	0.08277934476225698	21641
2015	0.08385052178389249	21369
2016	0.08897371863191557	20642
2017	0.08878650741668281	25955
2018	0.09283068803211818	28894
2019	0.09345636121906374	29334
2020	0.10521050638520826	24823
2021	0.0917694059606682	14797
2022	0.08621897487947207	19705
