year	avg_tempo	num_songs
1990	120.11645723805991	2701
1991	119.72656144270684	3133
1992	120.88836321167918	3425
1993	119.47133818377802	3711
1994	120.84887687761646	4061
1995	120.03229744605876	4542
1996	120.23109487951801	4648
1997	119.09713917619297	5511
1998	119.97748838109938	5164
1999	119.58075702177186	6017
2000	121.58548877691315	13098
2001	120.57958305387919	13419
2002	121.38649265008951	14558
2003	122.21827759325475	15656
2004	122.22948505572415	15792
2005	122.82512125097503	17938
2006	122.42294920986832	18035
2007	123.74582578844458	17915
2008	124.46161398397689	17849
2009	124.48547047650926	17901
2010	124.8224957684492	17724
2011	124.70958596606094	18327
2012	124.34493009992632	20515
2013	124.30760617337081	20961
2014	123.8784361628397	21641
2015	123.6486415368051	21369
2016	123.06795867648451	20642
2017	123.27713916393635	25955
2018	122.9695031148331	28894
2019	123.30878683439009	29334
2020	123.37135023969672	24823
2021	124.31103358788978	14797
2022	124.29826881502183	19705
