id,name,genre,bert_emotion,claude_emotion,agree,bert_tie,bert_tied_set
6qcTBJCVLQwATrFFBapcyf,Can’t Get Enough,Electronic,joy,sadness,False,False,
3ZdRd53sNTsVY3sLFoTriD,2012 Summer,Hip-Hop,anger,sadness,False,False,
4A1Egs5QQCHGClMB53HLGW,The Effects of Climate Change on Densely Populated Areas,Hip-Hop,anger,anger,True,True,joy+anger+love
01s1bKgpQm5JxuhVJSMf7T,Don't Ask Me Twice,Electronic,joy,sadness,False,False,
5FhI6DE7oGxMmqqHRT6qbg,New Ones (feat. NoCap),Hip-Hop,sadness,sadness,True,False,
5iws3klPhPLvXtVKL4YL9k,All On Mine,Hip-Hop,anger,anger,True,False,
67NbLfQF1yClS82JWjQz8e,Aliens vs Indians,Hip-Hop,anger,joy,False,False,
4edFT7XYhwdnuRDECPQqGa,New Eyes - Acoustic,Folk,joy,love,False,False,
7mj3oTUSVb9C4ydkaLPHjS,A Good Amount of Gay,Pop,joy,sadness,False,False,
44MqvTCcpMokT7CD3jNqoP,Ransom,Electronic,sadness,sadness,True,False,
72jGeL3qwyOrmByT0DUWdj,D.N.A. - Demon and Angel,Rock,sadness,fear,False,True,joy+sadness
5f4a8LWYVgk4WEQyQhuOwU,Yes & No,Pop,joy,love,False,False,
5ld178m33JKhm0F1XN1kQA,Thunder Kiss '65,Rock,joy,joy,True,False,
6UryEVkqPDLliZOG4UmFi9,2021,Rock,joy,sadness,False,False,
0HMco7zpjdsloHqToLjiLK,Mine,Electronic,joy,love,False,True,joy+anger
1mQaehT2IA8PAb6drI1RNB,Right Now,Hip-Hop,sadness,anger,False,False,
4Za8yDzEhc8uZMBQRkiaGr,New Day (Otis Parham),R&B,joy,sadness,False,False,
3ZbTIbNjbLZtIxk39IRrBQ,Combat,Hip-Hop,sadness,fear,False,False,
4wxm46qMm1P7JH1ivm1BQ2,Ambiramus,Rock,anger,fear,False,False,
6wKThjopVE8UVqyZfgaKcN,Heart Too Clean,Folk,joy,anger,False,False,
39Y6CSZq5BtGT9L9wxY3Sp,Oblivion (Everything Is Epic),Rock,fear,sadness,False,True,sadness+anger+fear
2ppFa6QFJp10sfXgHJQGAy,Sexual Capacity,R&B,fear,love,False,True,love+fear
4vh6Rn6FVG4w79JmlZ5p7d,Got To Keep On,Electronic,joy,joy,True,False,
3h3GEFIEWkDISN3yAjhiG9,Loved by a Country Boy,Country,love,love,True,False,
39Y8Co0z2J1AbzF11rhuFO,Head Spinning,Rock,sadness,sadness,True,True,sadness+anger+fear
4Nr465nCPqLBUi6xmms5uL,Bullet Holes,Rock,sadness,love,False,True,joy+sadness
1tzp6KOZgxDW6ZNuen0Kqy,Funky I Like It,Rock,joy,love,False,False,
2N7Qm7YdgvWlg8ZoxLkOND,Never Be The Same,Electronic,sadness,sadness,True,True,joy+sadness+anger
5a4nh2oropkkl4j2qKgSzq,When Things Go Wrong,Electronic,anger,sadness,False,False,
3eLdNmnRWr9gIyBcqTSSti,SOS - Laidback Luke Tribute Remix / Radio Edit,Electronic,sadness,love,False,True,joy+sadness
6907kOMXzkmvE9sFlYLuBg,Maintain,Hip-Hop,anger,sadness,False,False,
077vXHd5B0Zbdiui4ajQme,Hold You Back,R&B,joy,love,False,False,
7tRYdVO93ppaQmrewQX93f,Watch It Burn,Rock,anger,anger,True,False,
6Sq3AiBZZEfiF21x6ESrI6,Good Time - R3HAB Remix,Electronic,joy,joy,True,False,
6wwYN6lBOBdIXVkRhvbHb8,Through the Hollow Raven's Eyes,Rock,sadness,fear,False,False,
3MyrKuMveHZkZNTRQS9ILw,Keep Dancing,Pop,joy,sadness,False,False,
5uhAVbXda6xDa8d7k9kntL,I Decay,Hip-Hop,sadness,sadness,True,False,
5AWULaFp4cqXXr82LXkDP1,Advice - Live at Hoxton Hall,Pop,anger,anger,True,False,
5CalS8Gn69OOrR9aiw0ZO9,Honeybee,Folk,joy,love,False,True,joy+sadness
2Oq5UPVAHHegdrtluEhoEO,Crow,Folk,joy,sadness,False,False,
2DkpoHJ1h88e9dyc6SFIm2,Happens to the Heart,Folk,sadness,sadness,True,True,joy+sadness
3e4zN8UUqE5qvK4Uozdwhn,Absolution,Rock,joy,sadness,False,False,
5pJ1d5zTCb1DSoXZBLxxRG,Seth,Rock,sadness,sadness,True,False,
01niGNTcFtX1wweTTWQbb2,Brave - Don Diablo VIP Mix,Electronic,joy,fear,False,False,
0FhUOlLXRClxV8ovWQYQ2Y,Bucking the System (feat. Kevin Gates),Hip-Hop,anger,anger,True,False,
2ZM3NHXmumdyy4i1BWyHwU,My Way,Blues,sadness,sadness,True,False,
543bCW2ruMPmxUBWirQ3MR,Cross Me (feat. Chance the Rapper & PnB Rock),Pop,joy,love,False,False,
07wsr8b3h0n18wBeyZU0ht,My Other Side,Pop,sadness,sadness,True,False,
2pfie4H3j2RbeYuAsmojRv,Eternal Warrior,Rock,anger,joy,False,False,
3ZznDRLojMv5oWkeuvGSFR,Stay (feat. Dana Williams),Hip-Hop,joy,love,False,False,
